ID,Name,Gender,Height,Weight,URL
102748,Eden Silva,Female,173,59,https://healthyceleb.com/eden-silva-height-weight-age-body-statistics/102748
102901,Tara Moore,Female,162.5,58,https://healthyceleb.com/tara-moore-height-weight-age-body-statistics/102901
102864,Katie Swan ,Female,170,55,https://healthyceleb.com/katie-swan-height-weight-age-body-statistics/102864
102938,Katy Dunne,Female,178,64,https://healthyceleb.com/katy-dunne-height-weight-age-body-statistics/102938
103760,Lauren Wells ,Female,179,66,https://healthyceleb.com/lauren-wells-height-weight-age-body-statistics/103760
108220,Anastasia Ashley,Female,173,58,https://healthyceleb.com/anastasia-ashley-height-weight-age-body-statistics/108220
106702,Laurie Hernandez,Female,155,54,https://healthyceleb.com/laurie-hernandez-height-weight-age-body-statistics/106702
90262,Nixon Newell,Female,167.5,64,https://healthyceleb.com/nixon-newell-height-weight-age-body-statistics/90262
90697,Isabella Cuda,Female,137,44,https://healthyceleb.com/isabella-cuda-height-weight-age-body-statistics/90697
91594,Tessa Blanchard,Female,165,57,https://healthyceleb.com/tessa-blanchard-height-weight-age-body-statistics/91594
89883,Kristi Yamaguchi,Female,151,45,https://healthyceleb.com/kristi-yamaguchi-height-weight-age-body-statistics/89883
91766,Britt Baker,Female,170,55,https://healthyceleb.com/britt-baker-wrestler-height-weight-age-body-statistics/91766
90671,Sasha Banks,Female,165,52,https://healthyceleb.com/sasha-banks-height-weight-age-body-statistics/90671
91823,Brooke Hogan,Female,180,67,https://healthyceleb.com/brooke-hogan-height-weight-age-body-statistics/91823
91744,Io Shirai,Female,156,54,https://healthyceleb.com/io-shirai-height-weight-age-body-statistics/91744
91856,Natasha Jonas,Female,170,60,https://healthyceleb.com/natasha-jonas-boxer-height-weight-age-body-statistics/91856
94210,Indi Hartwell,Female,175,63,https://healthyceleb.com/indi-hartwell-height-weight-age-body-statistics/94210
91786,Naomi,Female,165,55,https://healthyceleb.com/naomi-wrestler-height-weight-age-body-statistics/91786
91915,Gabby Douglas,Female,157.5,50,https://healthyceleb.com/gabby-douglas-height-weight-age-body-statistics/91915
96997,Zahra Schreiber,Female,172.5,54,https://healthyceleb.com/zahra-schreiber-height-weight-age-body-statistics/96997
95774,Charlotte Flair,Female,178,64,https://healthyceleb.com/charlotte-flair-height-weight-age-body-statistics/95774
97721,Aksana,Female,165,68,https://healthyceleb.com/aksana-wrestler-height-weight-age-body-statistics/97721
97850,Laura Robson ,Female,180.5,66,https://healthyceleb.com/laura-robson-height-weight-age-body-statistics/97850
84687,Springs Charter School,Female,155,45,https://healthyceleb.com/sofie-dossi-height-weight-age-body-statistics/84687
84669,The ,Female,167.5,50,https://healthyceleb.com/kelianne-stankus-height-weight-age-body-statistics/84669
98959,Nicola Adams ,Female,165,54,https://healthyceleb.com/nicola-adams-height-weight-age-body-statistics/98959
87263,Paige Spiranac ,Female,168,55,https://healthyceleb.com/paige-spiranac-height-weight-age-body-statistics/87263
87313,Katie Taylor,Female,165,60,https://healthyceleb.com/katie-taylor-height-weight-age-body-statistics/87313
88200,Mandy Rose,Female,162.5,56,https://healthyceleb.com/mandy-rose-height-weight-age-body-statistics/88200
87394,Liv Morgan ,Female,160,50,https://healthyceleb.com/liv-morgan-height-weight-age-body-statistics/87394
88086,Savannah Marshall,Female,181.5,75,https://healthyceleb.com/savannah-marshall-height-weight-age-body-statistics/88086
88215,Ruby Riott,Female,162.5,55,https://healthyceleb.com/ruby-riott-height-weight-age-body-statistics/88215
88306,Billie Kay,Female,173,60,https://healthyceleb.com/billie-kay-height-weight-age-body-statistics/88306
88587,Ember Moon,Female,155,55,https://healthyceleb.com/ember-moon-height-weight-age-body-statistics/88587
88326,Alexa Bliss,Female,155,50,https://healthyceleb.com/alexa-bliss-height-weight-age-body-statistics/88326
88655,Sonya Deville,Female,170,59,https://healthyceleb.com/sonya-deville-height-weight-age-body-statistics/88655
89028,Katie Ledecky,Female,183,70,https://healthyceleb.com/katie-ledecky-height-weight-age-body-statistics/89028
88786,Tenille Dashwood,Female,165,60,https://healthyceleb.com/tenille-dashwood-height-weight-age-body-statistics/88786
89132,Peyton Royce,Female,170,60,https://healthyceleb.com/peyton-royce-height-weight-age-body-statistics/89132
88692,Sarah Logan,Female,168,63,https://healthyceleb.com/sarah-logan-height-weight-age-body-statistics/88692
89284,Asuka,Female,160,60,https://healthyceleb.com/asuka-wrestler-height-weight-age-body-statistics/89284
62174,"University of California, Los Angeles",Female,142,46,https://healthyceleb.com/simone-biles-height-weight-body-statistics/62174
62474,Stoneham High School,Female,163,55,https://healthyceleb.com/nancy-kerrigan-height-weight-body-statistics/62474
64625,Richland High School ,Female,175,68,https://healthyceleb.com/hope-solo-height-weight-body-statistics/64625
66532,St. Francis High School,Female,177,58,https://healthyceleb.com/analeigh-tipton-height-weight-body-statistics/66532
69208,Truckee Meadows Community College ,Female,163,52,https://healthyceleb.com/paige-vanzant-height-weight-body-statistics/69208
68200,Hamilton High School,Female,178,70,https://healthyceleb.com/laila-ali-height-weight-body-statistics/68200
62233,Valley High School,Female,150,45,https://healthyceleb.com/shawn-johnson-height-weight-body-statistics/62233
72105,Blaxland High School ,Female,166,60,https://healthyceleb.com/canoeist-jessica-fox-height-weight-body-statistics/72105
66314,Russian High School,Female,173,61,https://healthyceleb.com/anna-kournikova-height-weight-body-statistics/66314
68655,Spring Creek Academy,Female,160,52,https://healthyceleb.com/nastia-liukin-height-weight-body-statistics/68655
73315,Visa Championships,Female,160,53,https://healthyceleb.com/mckayla-maroney-height-weight-body-statistics/73315
73569,Johnston Heights Secondary School,Female,170,66,https://healthyceleb.com/sydney-leroux-height-weight-body-statistics/73569
73719,Chaparral High School ,Female,168,55,https://healthyceleb.com/nikki-bella-height-weight-body-statistics/73719
78132,Patrick Henry High School,Female,157.5,53,https://healthyceleb.com/ariana-berlin-height-weight-age-body-statistics/78132
80587,IMG Pendleton School,Female,175,60,https://healthyceleb.com/paula-creamer-height-weight-age-body-statistics/80587
83277,College of DuPage,Female,157.5,45,https://healthyceleb.com/alexa-scimeca-knierim-height-weight-age-body-statistics/83277
83342,Morgan Park High School,Female,178,68,https://healthyceleb.com/aja-evans-bobsledder-height-weight-age-body-statistics/83342
50801,12,Female,183,70,https://healthyceleb.com/victoria-azarenka-height-weight-body-statistics/50801
51838,Timea Babos,Female,179,71,https://healthyceleb.com/timea-babos-height-weight-body-statistics/51838
53359, Delran High School,Female,173,64,https://healthyceleb.com/carli-lloyd-height-weight-body-statistics/53359
51864,Yaroslava Shvedova,Female,180,70,https://healthyceleb.com/yaroslava-shvedova-height-weight-body-statistics/51864
53733,Johanna Konta,Female,180,70,https://healthyceleb.com/johanna-konta-height-weight-body-statistics/53733
54086,Maja Ognjenović,Female,110,67,https://healthyceleb.com/maja-ognjenovic-height-weight-body-statistics/54086
54098,Das aktuelle Sportstudio ,Female,173,73,https://healthyceleb.com/angelique-kerber-height-weight-body-statistics/54098
54351,DR2 Premiere ,Female,177,63,https://healthyceleb.com/caroline-wozniacki-height-weight-body-statistics/54351
54721,Ursuline Academy ,Female,196,85,https://healthyceleb.com/elena-delle-donne-height-weight-body-statistics/54721
54572,Milena Rašić,Female,191,72,https://healthyceleb.com/milena-rasic-height-weight-body-statistics/54572
